Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;Date de création;Date dernière MAJ;geo_shape;geo_point_2d
CP001778;;75013;14;2;ORANGE;CREATION_RESEAUX;déplacement de multitubulaire, phase 2;Boulevard Blanqui;;2021-01-11;2021-01-22;RESTREINTE;maintien d'une file de circulation sur le boulevard Fermeture de la voie entre les deux terre- plein.;2;1;;2020-11-02;2020-11-02;"{""type"": ""Polygon"", ""coordinates"": [[[2.354124777519102, 48.83111691715909], [2.3541101552671932, 48.83113349545429], [2.35459854427878, 48.83127890805886], [2.35468730129125, 48.83124250286519], [2.354836196802102, 48.83100653671505], [2.354496921647957, 48.830898814055445], [2.354148675844576, 48.831078973118345], [2.354124777519102, 48.83111691715909]]]}";48.8310889531,2.35450159209
CP001799;;75004;11;3;COVEA;REHABILITATION_IMMEUBLE;livraison d'éléments de toiture;Boulevard Bourdon;N°3;2020-11-23;2020-12-04;BARRAGE_TOTAL;depuis la rue Mornay vers et jusqu'au Boulevard Morland de 8h à 17h .Déviation par le contre sens bus Bd Henri IV et la rue Mornay .;1;2;;2020-11-16;2020-12-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.36647637518083, 48.849299146239744], [2.366602707232487, 48.84927834209029], [2.365897197461348, 48.847763437104554], [2.365688734066277, 48.84751539106046], [2.365610943490938, 48.84755792471061], [2.365783917519358, 48.847714522298936], [2.3658305623374, 48.847891922202486], [2.36647637518083, 48.849299146239744]]]}";48.848455145,2.36615170304
CP001750;;75019;10;1;SAGP;REAMENAGEMENT_VOIRIE;;rue de la Gare / Place Skanderberg;;2020-10-12;2021-01-18;RESTREINTE;Maintien d'une file de circulation ( sur Voie Pompiers);2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/Rue de la Gare.pdf;2020-09-28;2020-09-28;"{""type"": ""Polygon"", ""coordinates"": [[[2.37328074461379, 48.90233143852204], [2.373412017318102, 48.90224892100919], [2.37213190903193, 48.901380652582176], [2.37204467883491, 48.90118694641902], [2.372067202983308, 48.90100723608224], [2.371707928325095, 48.901091239910066], [2.370794038969904, 48.90125285117679], [2.370821465445953, 48.90134156679336], [2.371726210360261, 48.901263112687225], [2.371819809182457, 48.901266287190865], [2.372049842146038, 48.90143390231445], [2.372238942216925, 48.90162008996423], [2.37328074461379, 48.90233143852204]]]}";48.9015334683,2.37214294885
CP001357;;75008;9;3;Gaumont Ambassade;REHABILITATION_IMMEUBLE;;50 avenue des Champs Elysées;angle 1 rue du Colisée;2019-06-24;2021-02-26;RESTREINTE;Neutralisation zone deux roues, renvoi des piétons en vis à vis;2;2;;2019-06-04;2020-11-06;"{""type"": ""Polygon"", ""coordinates"": [[[2.306789592123125, 48.87030638280598], [2.306872447080684, 48.87036873033179], [2.307009366566736, 48.87032573944564], [2.307215433878396, 48.8703992701916], [2.307248343595926, 48.870365671400755], [2.306880041125742, 48.87023171421646], [2.306828729750709, 48.870238555171], [2.306789592123125, 48.87030638280598]]]}";48.8703130234,2.30697442901
CP001773;263533;75001;11;3;La Samaritaine LVMH;REHABILITATION_IMMEUBLE;Dépose de la base vie;rue de Rivoli;N°67;2020-11-16;2020-12-18;RESTREINTE;travaux par phases, dévoiement du cheminement piétons;2;2;;2020-10-26;2020-10-26;"{""type"": ""Polygon"", ""coordinates"": [[[2.344086729877716, 48.85977674894012], [2.3441147310037023, 48.85981447992567], [2.344690666074627, 48.85962706300241], [2.344662630867201, 48.8595920165185], [2.344086729877716, 48.85977674894012]]]}";48.8597034982,2.34438587264
CP001568;;75014;12;1;SSOA;TRAVAUX_URGENCE;passerelle des Arts et Métiers endommagée .;Avenue Pierre Masse;n°13;2019-11-22;2020-12-31;BARRAGE_TOTAL;l'accès au boulevard périphérique extérieur fermé . Réouverture de l'avenue pierre masse et l'accès au périphérique  sur une file le 19/02/20;1;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/14_ArtsMetiers_LAR Nov19.pdf;2019-12-09;2020-02-13;"{""type"": ""Polygon"", ""coordinates"": [[[2.33377087901922, 48.81748165592641], [2.333699649948077, 48.81752885174068], [2.333825422047387, 48.81761236335836], [2.333897409356462, 48.817562316151566], [2.33377087901922, 48.81748165592641]]]}";48.8175465935,2.33379862626
CP001609;;75006;12;3;Sénat;REHABILITATION_IMMEUBLE;;rue de Vaugirard;entre la rue de Tournon et la rue Garancière.;2020-07-02;2022-01-31;RESTREINTE;"Maintien d'une file réduite dans chaque sens.
La rue Garancière sera mise à sens unique en direction de la rue Palatine.";2;2;;2020-03-09;2020-06-30;"{""type"": ""Polygon"", ""coordinates"": [[[2.336008409898228, 48.849564069459575], [2.336033110751795, 48.849380028718265], [2.336099794132965, 48.84935327230715], [2.336758560269391, 48.849379769659876], [2.336764856658318, 48.84933839989748], [2.33653275727, 48.849330450606004], [2.336499212246473, 48.84930313723115], [2.336060221195462, 48.84928975585529], [2.336040521297536, 48.849307731735394], [2.336024517918288, 48.849318588118415], [2.336014259710721, 48.84933138122461], [2.336008309718558, 48.84934562552129], [2.335980307010471, 48.84956248621215], [2.336008409898228, 48.849564069459575]]]}";48.8493510507,2.33631271095
CP001764;;75008;9;3;AVRIL;REHABILITATION_IMMEUBLE;Rénovation complète et extension;11/13 rue de Monceau;;2020-11-30;2023-01-31;RESTREINTE;"Maintien de 4m de circulation
Maintien du contre sens cyclable";2;2;;2020-10-19;2020-10-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.306993062665561, 48.87579099688083], [2.30703311608456, 48.875763150457324], [2.306790957047797, 48.8755809054974], [2.306748721026638, 48.875610167356626], [2.306993062665561, 48.87579099688083]]]}";48.8756855286,2.30689042189
CP000596;;75008;9;3;Groupama -Immo;REHABILITATION_IMMEUBLE;;Bd Malesherbes;n°21;2018-04-03;2020-12-24;RESTREINTE;Neutralisation partielle de la piste vélo au droit de l'emprise, modification des files de circulation.;2;2;;2018-03-14;2020-10-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.321665841785725, 48.87207911999958], [2.321578623068717, 48.87207339063152], [2.321481632699772, 48.87220847326349], [2.321512616112073, 48.87221150429901], [2.321554151705117, 48.87223505875036], [2.321605339159682, 48.87223772852338], [2.321707415886949, 48.87209981920979], [2.321665841785725, 48.87207911999958]]]}";48.8721531448,2.32159562316
CP001192;;75017;9;1;Ville de Paris;TRAVAUX_TRAMWAY;;T3O;;2019-03-20;2023-12-29;RESTREINTE;Modification des files de circulation selon le phasage;1;2;;2019-03-18;2019-03-18;"{""type"": ""Polygon"", ""coordinates"": [[[2.30164634589797, 48.88918785517971], [2.3020245439523412, 48.888921535801586], [2.297962325470282, 48.886985891075085], [2.295364532580859, 48.88758286844559], [2.286398442999449, 48.88221295483761], [2.285378476749512, 48.88058496880667], [2.284654336512058, 48.87876540019331], [2.284275779705355, 48.877871625222724], [2.284314102918619, 48.87745295132455], [2.283783254682631, 48.87697716734359], [2.283332206996041, 48.8766200113347], [2.282564688688691, 48.87677653101243], [2.283697113254913, 48.87732036755266], [2.285178643488884, 48.88090600775047], [2.285441035552223, 48.881960199260575], [2.288283645261082, 48.88369570075372], [2.291835860998056, 48.885961639742725], [2.29361215627909, 48.8870891980241], [2.295504570166138, 48.88806703716328], [2.29625839753524, 48.887727758307584], [2.29715777630159, 48.88746451593359], [2.297630225794854, 48.88745654754251], [2.298085954885595, 48.887480701412116], [2.30164634589797, 48.88918785517971]]]}";48.8844084716,2.29153465568
CP001775;;75014;12;1;STV;REFECTION_CHAUSSEE;rabotage application d'un enrobé rue Liancourt élargissement de trottoir rue Lalande;rue Liancourt et rue Lalande;entre Rue Boulard et la rue Gassandi;2020-10-19;2020-12-08;RESTREINTE;Modification de la circulation selon le phasage .;2;2;;2020-10-29;2020-10-29;"{""type"": ""Polygon"", ""coordinates"": [[[2.32848669891005, 48.8334537653904], [2.326338801238728, 48.83416909998243], [2.326378902620401, 48.83421227263468], [2.328518635789022, 48.83349957523336], [2.32848669891005, 48.8334537653904]]]}";48.8338337507,2.32743048873
CP001776;;75014;12;1;SAP;ENTRETIEN_RESEAU;remplacement de branchement particulier.;impasse du Moulin vert;;2020-11-02;2021-03-31;BARRAGE_TOTAL;travaux par phase , barrage de la voie de 7h à 18h;2;2;;2020-11-02;2020-11-02;"{""type"": ""Polygon"", ""coordinates"": [[[2.322942617886695, 48.82954873019825], [2.324492466850777, 48.82916828566313], [2.324602472477192, 48.829150118090624], [2.324574432396677, 48.829117749485405], [2.324525719088824, 48.829112105988024], [2.324446153355591, 48.82897744718767], [2.3244134924079622, 48.82898799944393], [2.3244929189606403, 48.82913339422919], [2.3229145786222682, 48.8295163612154], [2.322942617886695, 48.82954873019825]]]}";48.8293080186,2.32381259096
CP000064;;75001;11;3;La Poste;REHABILITATION_IMMEUBLE;;52 rue du Louvre / rue JJ Rousseau;;2016-03-29;2020-12-18;RESTREINTE;Neutralisation de la voie bus - renvoi des piétons sur trottoir en face;2;2;;2016-12-22;2020-11-27;"{""type"": ""Polygon"", ""coordinates"": [[[2.343091751362955, 48.86517149297599], [2.343109814683579, 48.86516921245286], [2.343135163610863, 48.865161022745944], [2.34313340663656, 48.86515744450171], [2.343137041939076, 48.86515508478661], [2.342848263145907, 48.86460263969949], [2.342787418529314, 48.86456542343251], [2.34277410631365, 48.86462007910485], [2.343064614106482, 48.865178482124726], [2.343091751362955, 48.86517149297599]]]}";48.8648795782,2.34295104441
CP001065;;75008;9;3;SPIE BATIGNOLLES /OUTAREX;CONSTRUCTION_IMMEUBLE;;rue du Faubourg Saint Honoré;n°210;2019-02-11;2020-12-31;RESTREINTE;Maintien d'une file de circulation;;2;;2019-01-16;2020-12-01;"{""type"": ""Polygon"", ""coordinates"": [[[2.304161473984542, 48.875556891824075], [2.304248566603296, 48.87551837386875], [2.30434436205697, 48.87547657616709], [2.304282321886542, 48.87542196200057], [2.304092201454279, 48.875503664573614], [2.304161473984542, 48.875556891824075]]]}";48.8754897323,2.30421953642
CP001169;;75009;11;3;Grand Hôtel;REHABILITATION_IMMEUBLE;Phase I et II de réhabilitation du grand Hôtel Intercontinental;rue Scribe;Au N° 2;2018-02-12;2020-12-11;RESTREINTE;"Phase I :Neutralisation du stationnement, reste une file de circulation.
Phase II : Réduction des emprises, travaux de nuit en barrage total de 22h00 à 6h00 en Mai et Juin par périodes";2;2;;2019-03-06;2020-11-20;"{""type"": ""Polygon"", ""coordinates"": [[[2.330316750308203, 48.871024619411614], [2.330267238000292, 48.87107802408249], [2.330406290073279, 48.871339159563654], [2.330503969441316, 48.87133702141522], [2.330341195875707, 48.87102207254329], [2.330316750308203, 48.871024619411614]]]}";48.8711895666,2.33037899031
CP001608;;75008;9;2;CPCU;CREATION_RESEAUX;Raccordement d'immeuble;Rue de Monceau /place Rio de Janeiro;du n°28 au n°40, du n°3 au n°2;2020-06-01;2020-11-30;RESTREINTE;Modification de la circulation selon le phasage.;2;2;http://capgeo.sig.paris.fr/PdfEtImages/ChantiersPerturbants/Pdf/19162.pdf;2020-03-06;2020-11-12;"{""type"": ""Polygon"", ""coordinates"": [[[2.309047387713629, 48.87690125492473], [2.309025491767744, 48.87692016484711], [2.309366066443634, 48.877081556851955], [2.309338475358325, 48.87712184902324], [2.309487245543544, 48.877192902422635], [2.309653958952337, 48.87727119805474], [2.309786592229427, 48.87733501996003], [2.309820892214204, 48.87733283806734], [2.309865683627632, 48.877355701168035], [2.309933685983587, 48.87739654542054], [2.309901133377599, 48.87753912772228], [2.310584312732074, 48.87770962958215], [2.310695059536673, 48.87765553809929], [2.310795922810321, 48.87766682724769], [2.3108034356005343, 48.87764426473888], [2.310688253891779, 48.8776245652799], [2.3105811146626323, 48.87767867753364], [2.310288143847272, 48.877599655880935], [2.309980792538483, 48.877516982038], [2.31000211401121, 48.877405267721265], [2.3093819358888172, 48.87710901258157], [2.309414811953273, 48.877078268589024], [2.309047387713629, 48.87690125492473]]]}";48.8773991986,2.30992063391
